price,quantity
122004.0,0.13966
122004.01,0.0008
122004.02,0.04123
122005.52,5e-05
122005.62,0.0001
122005.63,0.03802
122006.01,5e-05
122006.05,0.00283
122006.44,5e-05
122007.23,5e-05
122007.99,0.0001
122008.0,0.0555
122008.12,0.0001
122008.13,0.02469
122009.17,0.00313
122010.0,9e-05
122010.22,5e-05
122010.24,5e-05
122010.7,0.0001
122010.71,0.00077
122010.96,5e-05
122010.97,0.04789
122011.4,0.00015
122011.43,0.0002
122012.0,0.00255
122012.15,0.00283
122012.22,0.00016
122012.25,5e-05
122012.82,0.009
122013.15,0.02084
122013.44,0.0015
122014.07,0.27047
122014.11,5e-05
122014.36,0.00075
122015.57,0.36915
122015.72,0.08037
122015.75,9e-05
122016.0,0.00255
122016.6,5e-05
122016.65,5e-05
122016.84,0.02059
122017.08,5e-05
122017.35,0.02363
122017.79,5e-05
122018.2,7e-05
122018.3,0.0015
122018.32,0.02353
122018.35,0.33138
122018.75,5e-05
122018.76,0.54868
122019.25,0.16464
122019.67,0.01609
122019.93,0.00819
122020.0,0.00314
122020.03,9e-05
122020.5,0.00078
122020.66,0.2951
122021.19,0.369
122021.57,5e-05
122022.3,0.0015
122022.31,0.003
122022.6,5e-05
122022.84,0.492
122022.92,0.0008
122022.96,5e-05
122023.0,0.00193
122023.25,9e-05
122023.41,0.0062
122023.71,0.16808
122024.0,0.00295
122024.72,0.41045
122024.98,0.00075
122025.35,5e-05
122025.37,0.492
122025.4,0.08
122026.14,0.29503
122026.41,0.00361
122026.55,0.00124
122026.84,0.29503
122027.0,0.00081
122027.05,1.30165
122027.08,0.33128
122027.13,0.03739
122027.14,1.36046
122027.46,9e-05
122027.6,0.492
122028.0,0.00295
122028.27,0.08196
122028.35,0.00124
122028.55,5e-05
122028.6,0.00246
122028.8,0.022
122028.9,0.492
122029.05,0.422
122029.06,0.41
122029.08,0.41
122029.14,5e-05
122029.32,5e-05
122029.74,5e-05
122029.85,0.00124
